,出現度数
David Snoke,14
Paul D. Feldman,14
Ronald Mennickent Dr.,14
Felix Hamza-Lup,14
Ian Howarth,14
Nathan Clisby,14
Talvikki Hovatta,14
Robert Style,14
Masayuki Akiyama,14
Harry Teplitz,14
Jigang Wang,14
Takafumi Suzuki,14
Pascal Oesch,14
Eugene Postnikov,14
Gianaurelio Cuniberti,14
Hua Zheng,14
Patricio Vielva,14
Vishnu Bannur M,14
Ziwen  Fu,14
Jorge G.  Hirsch,14
Blazenka Melic,14
Kazushi Sakamoto,14
Shusu Shi,14
Burkhard Duenweg,14
Daniele Bertacca DR.,14
Laurent Lellouch,14
Sergio Pilling,14
Matthew B. Stone,14
Tomasz Stachowiak,14
Gaurav Saxena,14
Alessandra Feo,14
Manabu Kiguchi,14
Jose Socorro Garcia,14
G\'abor S\'arosi,14
Luca Maccione,14
Kim-Vy H. Tran,14
Yasunobu Uchiyama,14
Luca Giuzzi DPhil,14
A. Ossipov,14
Tanumoy Mandal,14
Maksim Skorobogatiy,14
Maxim Raginsky,14
Spiros Patsourakos,14
Vyacheslav Zavlin,14
Bartlomiej Waclaw,14
Xiao-Hui Bao,14
Xu Zhiping,14
Davide Campagnari,14
Neretin Yurii.A.,14
Peter van Loock,14
Maxim Pavlov,14
Tigran Hakobyan,14
Artymowski Michal,14
David Morrissey,14
Paolo Moretti,14
Dao-Jun Liu,14
Carlo F. Barenghi,14
Miklos Gulacsi,14
Martin Leijnse,14
Junji Hisano,14
Albert Bruch,14
Victor Alexandrov,14
Yusuke Tsukamoto,14
W. Zhu,14
Qiang Sun,14
David McNutt,14
Martijn Wubs,14
Alexander Nichols,14
Tom Kennedy,14
A. A. Ovchinnikov,14
Jaeyoon Cho,14
Zach Meisel,14
Filippo Giubileo Dr,14
Seok Kim,14
Yasuko S. Honda,14
Roberto Le\'on-Montiel,14
Filipe Mena,14
Edward R. Kinney,14
Andrii Chumak,14
Sourav Dutta,14
Hans Kastrup,14
Luca Peliti,14
Giuseppina Battaglia,14
Richard Williams,14
Alexander Schmeding,14
James Murray,14
Liubin Pan,14
Balt van Rees,13
Laird M. Close,13
Stephen Clark,13
Adam Hill,13
Simon Raulot,13
Abderahmen Zoghbi,13
Radoslav Bucik,13
Sarah Casewell,13
Brett Morris,13
Dung-Hai Lee,13
Luiz Felipe Pereira,13
Kohsuke Sumiyoshi,13
Liese van Zee,13
Bence Kocsis,13
Adrian Rene Lugo,13
Krzysztof Marciniak,13
Richard P. Nelson,13
Pavel Buividovich Dr.,13
Ji\v{r}\'i Kub\'at,13
Tyler Volkoff,13
Takashi Tsuji,13
Yan Feng,13
Diego Conti,13
Ryszard Piasecki,13
Ioannis Parissis,13
Joshua L. Cohn,13
Nguyen Dinh Dang,13
B Reville,13
Punyabrata Pradhan,13
Suresh Kumar,13
Yoji Kawamura,13
M.C. David Marsh,13
Alan Dzhioev,13
Sergey Slizovskiy,13
Peyman Nasehpour,13
Leo Brewin,13
Herve Aubin,13
Takeshi Osada,13
Masato Yamanaka,13
Renato Vicente,13
Nicole Fiona Bell,13
Sarah Schmidt,13
Alexander Kalloniatis,13
Caleb A. Scharf,13
Fabrizio Massi,13
Pierre-Philippe Dechant,13
V. Kiryukhin,13
Tiago Campante,13
Jacques Laskar,13
Liang Gao,13
Torsten Asselmeyer-Maluga,13
Maksim Tomchenko,13
Martin  Krause,13
Artan Borici,13
Andjelka Kovacevic,13
Soko Matsumura,13
Savvas Koushiappas,13
Pablo A. Parrilo,13
Hongzhong Zhang,13
Arjun Dey,13
Seoktae Koh,13
Magaretha Pretorius,13
Carl R. Gwinn,13
Andrzej Wereszczynski,13
Ismail Shahin,13
Martin Bauer,13
William Percival,13
Konstantin Tikhonov,13
Simon Horsley Dr,13
Emi Kou,13
Wim van Dam,13
Luigina Feretti,13
Christos G. Tsagas,13
Qi Zhou,13
Margarita Khabibullina,13
Patrick Meessen,13
H\'ector Ochoa de Eguileor,13
Antonello Scardicchio,13
Tae-Sun Park,13
Himadri Sekhar Das Dr.,13
Fulai Guo,13
Han Liu,13
Antonaldo Diaferio,13
Mikhail Shaposhnikov,13
Nicolas J. Cerf,13
Ryan Lynch,13
Saga Shohei,13
Fabio Antonini Dr,13
Dmytro Pesin,13
Julian Rincon,13
Jaroslaw Korbicz,13
Pier Giorgio Rancoita,13
X. Hernandez Dr.,13
Ellak Somfai,13
Valeria Pettorino,13
Katherine E. McGowan,13
Aftab Alam,13
Alex James Dr,13
Seung-Il Nam,13
Bing-Sui Lu,13
Sourabh Lahiri,13
Csaba Boros,13
Kevin M. Huffenberger,13
Marc Audard,13
Kuei Sun,13
Anatoly Svidzinsky,13
Guillaume Noyel,13
Marco Evangelisti,13
Farrukh A. Chishtie,13
Thomas Henderson,13
Dagmar Bruss,13
Ian Moult,13
Vladimir Alexandrovich Krykhtin,13
David Brander,13
Howard Georgi,13
Martin Lopez Corredoira,13
Randall Wayth,13
Azadeh Moradinezhad Dizgah,13
Takeshi Matsumura,13
Andrew Kobach,13
Tiziana Di Salvo,13
Alban Poth\'erat,13
Benjamin M. Friedrich,13
Henrique de Andrade Gomes,13
Inigo L. Egusquiza,13
Kavoulakis Georgios,13
Paul Skrzypczyk,13
Suleiman Yerima,13
Gil de Oliveira-Neto,13
Francois Rincon,13
Kristina Giesel,13
Edward F. Brown,13
Takayuki Makino,13
Andrea Verdini,13
Ramin Skibba,13
Guillaume Pignol,13
Fu-Guang Cao,13
Ram Seshadri,13
Roberto Saito,13
Matthew Benacquista,13
Chun-Wang Ma,13
Vinicius Rodrigues Debastiani,13
Takayuki Tsuchida,13
Matthew Lippert,13
Claude Warnick,13
Scott A. Yost,13
Ata Sarajedini,13
Alessio Cardillo,13
F. Stef Roux,13
Adam Schneider,13
Anna Pachol,13
Kouhei Hasegawa,13
Dmitry Kamenev,13
Richard Wunsch,13
John Landstreet,13
Lorenzo Nicolodi,13
Ken'ichi Takano,13
Felix Yu,13
Hee-Jung Lee,13
Bahram Mobasher,13
Marcelo de Moura Leite,13
Shun Uchino,13
Nick Kaiser,13
Peter O. Fedichev,13
Mikhail Khenner,13
Sanming Zhou,13
Chien-Hsiu Lee Dr.,13
Benjamin Joachimi,13
Nikita Sidorov,13
Michel Lion,13
Hanno Gottschalk,13
George Mamatsashvili,13
Bernd Reindl,13
Jeongwan Haah,13
Maxence Lepers,13
Orhan Cakir,13
Carsten Urbach,13
Rajesh Kumar,13
Marcos A. Garcia Garcia,13
Hilke Schlichting,13
Ting Li,13
Mohammed Saleh,13
Anita L. Cochran,13
Dmitry Pikulin,13
Michael Pretko,13
Katarzyna Sznajd-Weron,13
Jianhui Zhang,13
David Poland,13
Claudio Landim,13
Diego Frustaglia,13
Martin Henze,13
Hailin Wang,13
A. J. Silvestre,13
Francesco Plastina,13
Wu-Sheng Dai,13
Jack Singal,13
Wolfgang Tichy,13
Rajeev Kumar Puri,13
Vasiliki Pavlidou,13
Umberto Maio PhD,13
Federica Govoni,13
Fernando Guevara Vasquez,13
Suvodip Mukherjee,13
Stefan Mashkevich,13
Reinhard Schumacher,13
Daniel Krefl,13
Alvio Renzini,13
Nicolas Doiron-Leyraud,13
Alexander Pukhov,13
Adriano Amaricci,13
Susanne Westhoff,13
Jacob Sonnenschein,13
Sebastian Acosta,13
Maura McLaughlin,13
Takeshi Yasui,13
Thomas Hambye,13
Hong Jiang,13
Stephen E. Fienberg,13
Daniele Malesani,13
C. D. Wilson,13
Ayuki Kamada,13
Anatoly Spitkovsky,13
Ebrahim Karami,13
Yoshihisa Kitazawa,13
Art Poskanzer,13
Dorival Goncalves,13
"J\""org Ruppert",13
Tomoya Isoshima,13
"Sebastian K\""onig",13
Tatsuo Kawamoto,13
Nial R. Tanvir,13
Nana Shatashvili,13
Tiziana Di Salvo Dr.,13
JiJi Fan,13
Noemie Globus,13
Jacob Greenstein,13
Deniz Ertas,13
Kathryn Neugent,13
Julian Mu\~noz,13
Wan Kyu Park,13
Alexandre Refregier,13
Xavier Leoncini,13
Miguel Paulos,13
Miguel-Angel Garcia-March,13
"Lucas B\""ottcher",13
Danny E. P. Vanpoucke Dr.,13
Naruhito Ishizuka,13
Xiaojun Zhou,13
John Wettlaufer S,13
Paul Hohler,13
Wlodek Bryc,13
Filip Ronning,13
Jan Rosseel,13
Hideyuki Tagoshi,13
Raquel Alvarez-Rodriguez,13
"Gwena\""el Bou\'e",13
Shota Kisaka,13
Jonathan Touboul,13
Buisseret Fabien Dr,13
Kevin Flaherty,13
Tristan Guillot,13
Kristian Sommer Thygesen,13
Eli Visbal,13
Satoshi Shirai,13
Manuel Array\'as,13
Paul Skoufranis,13
Abhijit Biswas,13
Masashi Takigawa,13
Don Melrose,13
Vladimir Hnizdo,13
Toshiaki Fujimori,13
Ferdi Altintas,13
Yakov Kopelevich,13
Marcelo Samuel Berman,13
Aron Wall,13
Alexander Velytsky,13
Zuo-Tang Liang,13
Weihong Zheng,13
Nicki Mennekens,13
Martin Plesch,13
Riccardo Zecchina,13
Yi Ling,13
Jennifer Schober,13
Gregory C. Levine,13
Anatoly Kamchatnov,13
Paulina Marian,13
Vladislav Khalilov,13
Alexander Rudenko S.,13
Brunner,13
George Kraniotis,13
Brian C. Hall,13
Aina Palau,13
Marco Drewes,13
Jose Coutinho,13
Martin Kilbinger,13
Leonid Skripnikov,13
Stanley P. Gudder,13
Yongqing Cai,13
Marco Feroci,13
Jacques P  Vall\'ee,13
Igor V. Gornyi,13
Erasmo Caponio,13
Zoltan Toroczkai,13
Hume A. Feldman,13
James E. Taylor,13
Eli Rykoff,13
Cai Rong-gen,13
Alexander Tsymbaliuk,13
Maria Fyta,13
Andrew Christianson,13
Eric Rowland,13
Koichi Sato,13
Jian Huang,13
Alexei M. Tsvelik,13
Kevin McCarty,13
Wen-Chin Wu,13
N. K. Dadhich,13
Velichka Milousheva,13
Ian Kogan,13
Kun Fang,13
Olga V. Man'ko,13
Wolfgang Haeusler,13
Vincent Eke,13
Jose Bordes,13
Elena Braverman Prof,13
Miguel-Angel Perez-Torres,13
Sandeep Goyal,13
"Olli Sipil\""a",13
Andras Suto,13
Robert Grand,13
Jeremy O'Brien,13
Tim Morris Prof,13
Iver H. Brevik,13
Geza Toth,13
Yu. V. Tarasov,13
David Cebron,13
Matthias Punk,13
Jami Kinnunen,13
Gregory Shields,13
Xin Chen,13
Stephen Cenko,13
Paul Rakow,13
"Katja Kr\""uger",13
Andrei Igoshev Petrovich,13
Athanasios Chatzistavrakidis,13
C. M. Chandrashekar,13
Daniel Welty,13
Monica Guica,13
Kunio Kaneta,13
Nils Hasselmann,13
Priyotosh Bandyopadhyay,13
Eamonn Kerins,13
Dmitry Gridnev K.,13
Ramandeep Gill,13
Manuel A. Matias,13
Yi Pang,13
Sergey Bastrukov,13
"Dieter L\""ust",13
Luca Tessieri,13
Guilhem Lavaux,13
Cesare Franchini,13
Simon O'Toole,13
Chi-Te Liang,13
Christian Hagendorf,13
Michiel Snoek,13
Marcelo Alvarez,13
Shao-Jun Zhang,13
Patrick Broos,13
Jose F. Gomez,13
Stephen Green,13
Paolo Crivelli,13
Norio Kumada,13
Frederic Zagury,13
Michael G. Richer,13
Cristinel Diaconu,13
Paul S. Ray,13
Hernan A. Makse,13
Hyunsuk Hong,13
Lara Anderson,13
S. Peng Oh,13
Jiang Zhang,13
Christophe Gissinger,13
Xian-Ting Liang,13
Masami Ouchi,13
Matthias Lesch,13
A. V. Balatsky,13
Boris Pritychenko,13
Wei-Hong Liang,13
Hua Chen,13
Yuriy Yerin,13
Chun-Hua Yuan,13
Won Nam Kang,13
Peter Holland,13
Henryk Arodz,13
Shri Singh krishna,13
Olivier Guyon,13
Akira Niegawa,13
Alessandro D.A.M. Spallicci di Filottrano,13
Andrew Taylor,13
Woo-Sung Jung,13
Toni Shiroka,13
Mark W. Paris,13
Thomas J. Humanic,13
Adam Aczel,13
Mercedes Martin-Benito,13
Alexander Gerlach,13
Volker Ossenkopf,13
Oren Ben-Bassat,13
Christian Weedbrook,13
Yuri Yermolaev,13
Tatsuro Yuge,13
P Ajith,13
Luis Dinis,13
Claudio Guarcello,13
Benjamin Canals,13
Karen Hallberg,13
Gareth Alexander,13
Rodolfo Sassot,13
Kari J. Eskola,13
Shan Gao,13
Marco Lucamarini,13
Tien Kieu,13
Mark W. Meckes,13
Ludwig Mathey,13
Eduardo Guendelman I,13
Sakuntala Chatterjee,13
Ajay D. Thakur,13
Alexis Smith,13
Michael Line Mr.,13
Tomas Mancal,13
Xin-Heng Guo,13
Louis H. Kauffman,13
Mustapha Mouhcine,13
Roberto Daniel Mota Esteves Dr.,13
Francisco Lima,13
Mikhail Osipenko,13
Hartmut Abele,13
Hideo Mabuchi,13
Paul-Gerhard Reinhard,13
J. S. Alcaniz,13
Mohammad Ahmady,13
Max Alekseyev,13
Yuri Shukrinov,13
Lenhard Ng,13
Abdelmalek Abdesselam,13
Yoshiki Toba,13
Navid Constantinou,13
David Viennot,13
Leonardo Rolla,13
Andrea Morandi,13
Ashish Garg,13
Antonio J. Segui,13
Rolando Somma,13
Juergen Fuchs,13
Lijun Zhang,13
Hyeonjoon Shin,13
Joern Kersten,13
S. Bhattacharyya,13
Sebastian de Haro,13
Ruth Britto,13
Jonathan R. Friedman,13
Yuto Ashida,13
Amr El-Zant,13
Zhong-Ying Fan,13
Sergey Rodionov,13
David Carpentier,13
Atsushi Watanabe,13
Chad Galley,13
Sanjib Sabhapandit,13
Tim M. P. Tait,13
Delphine Porquet Dr.,13
Marco Raveri,13
German Lugones,13
Mathias Garny,13
Arghya  Choudhury,13
Sandeep Chatterjee,13
Alexei Voronin,13
Kaiyou Wang,13
Gabriele Ferrari,13
Gernot Maier,13
Luca Martinazzi,13
Martin Feix,13
Alberto Alonso-Izquierdo Dr,13
Jo\~ao Moreira,13
Trent Dupuy,13
Yao-Bei Liu,13
Heather Knutson,13
Jan Pflamm-Altenburg,13
Oscar Varela,13
Jose Carmelo,13
Xiaohui Sun,13
Elvio Di Salvo,13
Francisco J. Cao,13
Jian-Zu Zhang,13
Thomas Peitzmann,13
Margarita Garcia Perez,13
Thanos Manos,13
Rose Lerner,13
Daniel Meerburg,13
Yoav Kallus,13
Kunihiko Yamauchi,13
Hasan Yuksel,13
Pramod Padmanabhan Mr.,13
Thomas Richard Marsh,13
Stefan Kretzer,13
Marek Ploszajczak,13
Laure Gouba,13
Radoslav Rashkov,13
William Fischer,13
Theodore Liolios,13
Victor Dodonov,13
Ian McArthur,13
Robert Szafron,13
Francis Bernardeau,13
Bruno Carneiro da Cunha,13
Maximilian Amsler,13
Makito Oi,13
Luca Marmugi,13
Axel Weiss,13
Paolo Malgaretti Mr,13
Guillem Anglada-Escude,13
Mark A. Scheel,13
Thomas T. Dumitrescu,13
Charles L. H. Hull,13
Matthew A. Kenworthy,13
Isabella Gierz,13
Timothy Donaghy,13
Nabil Iqbal,13
J. Diemand,13
Paulo Rodrigues Lima Vargas Moniz,13
A. F. W. van Hameren,13
Dmitry Makarov,13
Jean-Michel Mignot,13
Stefan Scheidl,13
Anil Shaji,13
Zhicheng Zhong,13
David Nataf,13
Octavi Fors,13
Eric Deutsch,13
Reem Sari,13
Toby Falk,13
Stefan Kuhr,13
Ondrej Sipr,13
W. S. Hou,13
Xinnian Wang,13
Ann-Cecilie Larsen,13
Amy Bonsor,13
Gabriel Martinez-Pinedo,13
Zhi-Hui Guo,13
Ling Zhou,13
Michihisa Takeuchi,13
Albert Diaz-Guilera,13
Stefan Friedl,13
Paolo Esposito,13
Nicholas Law,13
Robert Throckmorton,13
Ian Heywood,13
Stuart Lumsden,13
Ivan Protopopov V.,13
Xavier Dumusque,13
Zhongxiao Jia,13
Kyriakos Papadopoulos,13
Miguel Pereira-Santaella,13
John March-Russell,13
Kenneth Marsh,13
Michel Kenzelmann,13
Yizhi You,13
Andre de Gouvea,13
Konstantin Kouzakov,13
Edward Frenkel,13
Garth Wells,13
Manas Kulkarni,13
Yoshiaki Koma,13
Pedro Machado,13
Gabriele Bruni,13
Enrico Rossi,13
Omer Bromberg,13
Walter D. Neumann,13
Yongwan Gim,13
Anna Marino,13
Denis Kochan,13
Christoph Bobeth,13
Brigitte Gaillard,13
Onofre Rojas Dr.,13
Roland G. Winkler,13
Yousuke Itoh,13
Takanori Sakamoto,13
Giovanni Imponente,13
James LeBlanc,13
Doron Bergman,13
Micha{\l} Oszmaniec,13
Stepanyantz Konstantin,13
Robert Stadler,13
Amri Wandel,13
Lara Nava,13
Francesco Buscemi,13
Alexander Sibirtsev,13
Chen Jiang,13
Aleksei Malyshev,13
Hideko Nagahiro,13
Sergio Cristallo,13
Michael Abbott,13
Indranil Paul,13
Michael Cooper,13
Sean Farrell Dr,13
Thomas R. Geballe,13
Changjun Gao,13
Jonathan Friedemann Donges,13
Mariano Mendez,13
Swetlana Hubrig,13
Weisheng Zhao,13
Flavio Mercati,13
Per Elmfors,13
Sergey Mironov V.,13
Kartik Prabhu,13
Enrique Ordu\~na-Malea,13
Santabrata Das,13
Jacques Delabrouille,13
Ian Spielman,13
Norbert Christlieb,13
Carsten Klempt,13
Benjamin L'Huillier,13
Shant Shahbazian,13
Pedro Marronetti,13
N. David Mermin,13
Dmitry Novikov,13
Francisco Villaescusa-Navarro,13
Eduardo Gonz\'alez-Alfonso,13
Thad Walker,13
Igor Sokolov,13
Olaf Kaczmarek,13
Tomasz Lukowski,13
Oleksandr Tsyplyatyev,13
Dimitri Polyakov Prof,13
Mitsutoshi Fujita,13
Boris Samsonov F,13
Dieter Heiss,13
Jacobo Ebrero,13
Anne Sickles,13
Mukesh Kumar,13
Nora Chisari,13
Alexander Grosberg,13
Guenter Plunien,13
Stefan Hesselbach,13
Gokce Basar,13
Andreas Ipp,13
Franck Plunian,13
Naoki Fujiwara,13
Fakher Assaad,13
Bogdan Wojtsekhowski,13
David Simon,13
Jose Wadih Maluf,13
Vassili Fedotov,13
Christian Maier,13
Daniel P. Arovas,13
Pradipta Ghosh,13
Annalisa Celotti,13
Kalmykov Mikhail,13
S. Kondratyuk,13
Kurt Adelberger,13
Sachiko Takeuchi,13
Alexander Khaetskii,13
H Mohseni Sadjadi,13
Hector Bombin,13
Seyed Morteza Hosseini,13
Nikos Stefanakis,13
Urs Hartl,13
Giuseppe Nardulli,13
Mihail Chizhov,13
Farhang Loran,13
Martin Dominik,13
Pavel Timonin,13
R. Loll,13
Sergei Gukov,13
Boris A. Gelman,13
Irina Grigorieva,13
Dong Phung Van,13
Susumu Shinohara,13
Chien Yeah Seng,13
Patrick Gaulme,13
Tesla E. Jeltema,13
Yu-Ying Zhang,13
Wojciech Hellwing,13
Rogerio Riffel,13
Massimo Blasone Dr,13
Evgeny Nikulchev,13
Sergey Moiseev A,13
Jaziel Goulart Coelho,13
Hashim A. Hashim,13
Masatsugu Suzuki,13
Koushik Ray,13
Robert Pelcovits,13
Cheng Song,13
Hiroshi Umetsu,13
Danilo Diaz,13
Charles Downing,13
Xinwen Shu,13
Alfredo Raya,13
Sandra Jeffers,13
Xinyou Lu Prof.,13
Hardi Peter,13
Fei Ye,13
Jean-Francois Semblat,13
Poonam Chandra Dr.,13
Sun ChengYi,13
Arjan Bik,13
Robert Vertesi,13
Stephane Munier,13
Dan Wilkins,13
Nicolas Destainville,13
Stefan Wabnitz,13
Bogdan Opanchuk,13
Ming-Chiang Chung,13
Andrea Alu',13
Yves Wiaux,13
Kevin E. Bassler,13
Giovanni Villadoro,13
Peter Constantin,13
Yuta Yamane,13
Francois Gieres,13
Robert Marsh,13
Piyush Kumar,13
Olivier Le Fevre,13
"Andreas B\""achle",13
Daniele Treleani,13
Frode K. Hansen,13
Mariska Kriek,13
Carlos Hidalgo,13
Roberto Raimondi,13
Bram Boroson,13
Alexey Kuznetsov,13
Sayan Chakraborti,13
Elsa Prada,13
Niladri Sarkar,13
Wytse van Dijk,13
Alexandru Lupsasca,13
Francesco Ticozzi,13
Riccardo D'Auria,13
Ralf-Arno Tripolt,13
Vitor Emanuel Rodino Lemes,13
Elisabetta Pallante,13
Mehdi Nadjafikhah,13
David R. Bickel,13
Yasuhiro Niimi,13
Janusz Kaluzny,13
Peng Sun,13
Walter Boschin,13
Alvaro Marin,13
Hirano Shingo,13
Animesh Datta,13
Hernan Makse,13
David P. Huenemoerder,13
Aleksandrs Aleksejevs,13
Dipanjan Mitra,13
Javier L. Albacete,13
Kai Zehmisch,13
Shinsuke M. Nishigaki,13
Matteo Murgia,13
Vyacheslav P. Spiridonov,13
Robert Schabinger,13
Travis Norsen,13
Matthew Charles,13
Liqin Ke,13
Van Mayes,13
Alessandro Romito,13
Keping Qiu,13
Benno Liebchen,13
Samar Safi-Harb,13
Mike Thelwall Prof,13
Gian Paolo Beretta,13
Kazimierz Borkowski,13
Andre Eckardt,13
Roya Mohayaee,13
Jes\'us Alberto Toal\'a,13
Andrei Gritsan,13
Fabio Iocco,13
Dongho Chae,13
K. Sridhar,13
Ignacio Mart\'in-Navarro,13
Jai-chan Hwang,13
Victor Mukherjee,13
Steffen Sagave,13
Sergei Chekanov,13
Antonio Riotto,13
Cm Pintea,13
Denija Crnojevi\'c,13
Gregory Laughlin,13
John W. Negele,13
Hironori Yamaguchi,13
J. A. R. Cembranos,13
Julia E. Medvedeva,13
Gregory J. Herczeg,13
Jie Lin,13
Carlos Quintero-Noda,13
Wayne Witzel,13
Sung-Kil Yang,13
Sergei Fedotov,13
Andreas Kaiser,13
Gavin E. Crooks,13
Chiara Tarantini,13
Dean Lee,13
Vincent G. J. Rodgers,13
Sorin Bastea,13
Pradeep Sarvepalli,13
Yuri Litvinov,13
Tonguc Rador,13
Amritanshu Prasad,13
Shijun Mao,13
Artie Hatzes,13
Renato A. Dupke,13
Teppei Okumura,13
Florence Durret Dr,13
L\'aszl\'o Alm\'asy,13
Boyan Torosov,13
Arbab Ibrahim Arbab,13
Yong-Joo Doh,13
Rebekah Dawson,13
Andreas Kreisel,13
Daniel Bedingham,13
"Veit Schw\""ammle",13
Alexei Mailybaev,13
Erwin de Blok,13
Jussi Valiviita,13
Jan Felipe van Diejen,13
Kevin Beach,13
Gabriel Denicol,13
Alaska Subedi,13
Ivone F. M. Albuquerque,13
Mario Krenn,13
Hua Yun Geng,13
Ruben Mkrtchyan,13
Tiago Ricci,13
Miguel Angel Escobedo Espinosa,13
Zhengkang Zhang,13
Zi-qiang Zhang,13
Alvaro L.,13
Arieh Konigl,13
Ewald Puchwein,13
Shin Nakamura,13
Giulio Bonelli,13
Stefanos Papanikolaou,13
Tomas Liko,13
Milorad Milosevic,13
Igor D. Kaganovich,13
Giovanni Cresci,13
Masanori Nagao,13
Zhiguang Xiao,13
Titus K Mathew,13
Carmine Ortix,13
Sergio Lupia,13
Akihiro Munemasa,13
Jing Jiang,13
Tad Hogg,13
Mircea Andrecut Dr,13
Sachiko Kuroyanagi,13
Philip Myers,13
Harold Weaver Jr,13
Jarrod R. Hurley,13
Cristian Daniel Batista,13
Matthew Bayliss,13
Leonardo E. Silbert,13
Chang Qing Sun Dr,13
Martijn Kool,13
Sergei Demidov,13
Tetsuya Onogi,13
C.M. Chandrashekar,13
Marcin Badziak,13
Tian Lan,13
X. Hernandez,13
Abraham Loeb,13
Dimiter Stamenov,13
Tuhin Roy,13
Marc Favata,13
Urjit A. Yajnik,13
Francois Impens,13
Sandipan Sengupta,13
Bin Han,13
Christian Henkel,13
Jose Carlos N. de Araujo,13
Claes Uggla,13
Ioannis Kourakis,13
Roberto Myers,13
Miguel Sanchis,13
Gustavo A. Medina Tanco,13
Stephen Weyeneth,13
Ivan Arraut,13
Marcus Pinto B,13
Marcus Doherty,13
Brett Wick,13
Boby Joseph,13
Masahiro Hotta,13
Peter Graham,13
Nathan Kaib,13
Alex Bartel,13
Alexei Smirnov Yu,13
Jose Manuel Velhinho,13
Keisuke Izumi,13
Randall Cooper,13
Szymon Pustelny,13
Sebastian Sapeta,13
Adam Miller,13
Jaroslav Rehacek,13
Naoki Sato,13
Su-Yong Lee,13
P. James E. Peebles,13
Allan I. Solomon,13
Alexey Verkhovtsev,13
Youjun Lu,13
Richard Jozsa,13
Gabriele Honecker,13
Chang-Goo Kim,13
Jin-Jun Geng,13
Sebastian Ardenghi JSA,13
Shan-Shan Weng,13
Juergen Koenig,13
Jose Riera,13
Carl R. Schmidt,13
Ekaterina Christova,13
Xu Zhang,13
Robert W. Johnson Jr,13
Giuseppina Orlandini,13
Satoru Emori,13
James Martin,13
Chandrachur Chakraborty,13
Tobias Schmidt,13
Pedro Cunha de Holanda,13
R. E. Rutledge,13
Daniel D'Orazio,13
Sebastiano Bernuzzi,13
Melissa Ness,13
Tan Lu,13
Frederic H. Vincent,13
Keitaro Nagata,13
Ran Cheng,13
Andrea Tarchi,13
T. Kanna,13
Jaewon Song,13
"Matthias Schr\""oter",13
Mark D. Roberts,13
Jamison Galloway,13
Sanjib Sharma,13
Netta Engelhardt,13
Theodore L. Einstein,13
Ursula Wurstbauer,13
Edward Stoeffhaas,13
Cl\'ement Faugeras,13
Prasad Subramanian,13
Francesco Massel,13
Irina Sagert,13
Gianfranco Bertone,13
Ivan Zhelyazkov,13
Yudi Santoso,13
Luca Martucci,13
Jiunn-Yuan Lin,13
Elena Kuznetsova,13
Dale D. Kocevski,13
Abhishek Agarwal,13
Enrique Moreno,13
Laureano Ramirez-Piscina,13
V. N. Narozhnyi,13
Gergely Sz\'ekely,13
Edwin Langmann,13
Kurt Haller,13
Julien Carron,13
Boris Svistunov,13
Marc de Montigny,13
Bjoern Trauzettel,13
Eugene Eliseev,13
Augusto Ponce,13
Roberto Volpato,13
Motoi Endo,13
Zhou Rui,13
Aaron Geller,13
Michael,13
Sara Jabbari-Farouji,13
Arturo Lezama,13
Brian Fields,13
John M. Campbell,13
Yasser Roudi,13
Evgeny Liverts,13
Schuyler D. van Dyk,13
Baleegh Abdo,13
Matteo Paoluzzi,13
Gergely Fejos,13
Carl Melis,13
Filippo Sala,13
Dian-Yong Chen,13
Hitesh Changlani,13
Giacomo Micheli,13
Vipin Kerala Varma,13
Sumedha,13
Billy Quarles,13
Ennio Salvioni,13
Muhittin Mungan,13
Rene Messina,13
Thomas,13
Nikolay Pletnev,13
Alexei Zhedanov,13
John Kehayias,13
Wei-Liang Qian,13
Cristian Villavicencio,13
Ian Melbourne,13
Frederik Simons,13
Ignacio Mendigut\'ia,13
Laura Portinari,13
Thomas Michael Tauris,13
Guillaume Scamps,13
Eduardo de Rafael,13
Harald G. L. Schwefel,13
Sergio Campana Dr.,13
Zhyrair Gevorkian,13
Chee Sheng Fong,13
Min-Hsiu Hsieh,13
Sofia Quaglioni,13
Pedro Gir\~ao,13
Theja N. de Silva,13
David J. Rusin,13
Jere Jenkins,13
Alessio Belenchia,13
George Booth Dr.,13
Cristina Chiappini,13
Peter Bantay,13
Liang Dai,13
Marcelo Guimaraes,13
Claus Leitherer,13
Congkao Wen,13
David Collins,13
Altug Ozpineci,13
Adriaan (Ard) A. Louis,13
Pekka Abrahamsson,13
Daniel Cabrera,13
Mustafa Amin,13
Georgiy Shevchenko,13
Ronald James Buta,13
Vincent Bouchard,13
Chen Gang,13
M. Ploszajczak,13
Andrea Carati,13
George Kirczenow,13
Man-Hong Yung,13
Juan Carlos Su\'arez,13
Guillaume Gervais,13
Etsuko Itou,13
Jin-Ho Cho,13
Nathalie Palanque-Delabrouille,13
Andrew Scott,13
Wies{\l}aw Leo\'nski,13
David Minh,13
Jia Wang,13
Jianbo Zhang,13
B. Lee Roberts,13
Tamas Palmai,13
Dr. Roman Schnabel,13
Sven Friedemann,13
Oscar St{\aa}l,13
W. H. Zurek,13
Rainer Pullirsch,13
Jeff Mangum,13
Chungwei Lin,13
F\'abio Zimmer,13
Anastasios Avgoustidis,13
Miguel A. Porras,13
